parent_asin,verified_purchase,rating,helpful_vote,user_id,review_date
B0014TBEJW,False,5.0,3,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-05-23 15:50:31
B0040ZI120,False,5.0,6,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-03-11 17:46:21
B006LMZBD2,False,5.0,1,AG3S4FROO422V5KP7DJCBXVUQLJQ,2015-03-11 16:37:57
B002RH0ND8,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2014-09-29 20:33:13
B000VPP00O,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-12-18 14:39:51
B000GEW86E,False,4.0,4,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-10-19 10:58:03
B00C9RCUSC,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-09-04 16:56:51
B001MPYMSI,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-09-02 14:02:01
B006TX2672,False,5.0,7,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-09-01 13:37:04
B003OFC2SG,False,5.0,2,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-02-09 16:10:14
B004CAA1SU,False,5.0,3,AG3S4FROO422V5KP7DJCBXVUQLJQ,2013-01-31 12:15:21
B007ZDO9G6,False,5.0,0,AG3S4FROO422V5KP7DJCBXVUQLJQ,2012-11-21 15:00:03
B000057NO8,False,5.0,4,AG3S4FROO422V5KP7DJCBXVUQLJQ,2012-08-02 13:24:10
B013H0W9Y4,True,4.0,0,AHF23TTAPE3MPI45R2YET4OGHFTA,2020-11-14 13:22:26
B003IQZS5A,True,5.0,0,AEN2NKUOAXGNLLT6DCQDQ2LK7M6Q,2022-09-11 04:05:44
B00CP6J968,True,5.0,1,AG25ZASYXSIF666IYOAOXJTTX2WQ,2017-10-08 17:24:33
B016NEFB0U,True,4.0,0,AEPTHE6UGTAHFEQTVNIB4K7H272Q,2017-05-21 01:52:41
B000KW2I94,True,2.0,0,AHTBBASAHXHHOXKLSSZG2IPUDDFA,2014-01-18 19:29:02
B00O4CW346,False,1.0,0,AGJFEHVC4XBS44CGHQTP4JQM5FUQ,2016-02-24 09:48:14
B00B4VYPKU,True,5.0,1,AGJFEHVC4XBS44CGHQTP4JQM5FUQ,2013-04-23 21:19:50
