parent_asin,title,main_category,average_rating,rating_number
B013H1ALO8,Original Album Series:Donny Hathaway/Everything Is Everything/Extension Of A Man/In Performance/Live by Donny Hathaway (2010-03-09),Digital Music,5.0,1
B00PUTUP88,"12 Songs of Good & Evil by Eberhardt, Cliff [Music CD]",Digital Music,4.3,5
B00U1OCGGG,Aja [Vinyl LP],Digital Music,4.8,3756
B00G2IJ4IS,It's Not Big It's Large by Lyle Lovett (2007) Audio CD,Digital Music,4.4,130
B007BYPRW4,Musikhalle Hamburg West Germany 4/29/1972,Digital Music,5.0,1
B00006497I,PEACEFUL OCEAN SURF,Digital Music,2.0,1
B0000073U7,Piece By Piece,Digital Music,5.0,2
B0047IRB4E,the day of wrath LP,Digital Music,4.4,11
B008SFSTOI,Courage to Stand Strong,Digital Music,5.0,2
B000IG2PNG,Lord You Reign - Dr Charles Stanley,Digital Music,4.2,3
B00000IR6D,Piu Belle Canzoni,Digital Music,5.0,1
B000ZQASEM,Jordin Sparks with Exclusive Bonus Track,Digital Music,4.6,338
7799215364,Guqin - A Collection of Music Played on the Guqin (2) (4 Audio CDs),Digital Music,5.0,2
B003826E20,Undisguised,Digital Music,4.9,45
B000GFD36C,Initiation: Inside the Great Pyramid,Digital Music,4.0,30
B003UJ6J9E,Impressions With Jerry Butler & Betty Everett,Digital Music,5.0,1
B07MSG4K21,"Music & Movement Fun & Games Galore Exciting New Songs / Educational Songs for Kids of all Ages, Perfect for Mommy & Me, Pre-School, Kindergarten, Amazing Jewish Music For Kids",Digital Music,5.0,11
B000QB71XM,RENE & SABOR,Digital Music,5.0,1
B000FPPZLO,Pacha Mama,Digital Music,4.0,1
B01FF8ZZK6,20Ten,Digital Music,4.8,42
B003GD03P0,Nuevos Exitos De Celia Cruz,Digital Music,5.0,1
B003R2PASA,THUNDER WIND & RAIN NATURESCAPES A MUSIC,Digital Music,3.0,2
B00020V7ZK,Every Moment,Digital Music,4.0,4
B008TV8QL2,LDS: Popcorn Popping CD - Marvin Goldstein,Digital Music,5.0,1
B001EKGRMA,"Banda Zeta ""20 Exitos""",Digital Music,5.0,6
B01MRE4W8X,Theres a Storm Coming by In Faith,Digital Music,4.8,22
B005JPUWJU,Mis Mejores a Años,Digital Music,5.0,1
B09NB1LX7J,30 Greatest Hits of Lynyrd Skynyrd,Digital Music,4.8,5
B00005ERHJ,美少女戦士セーラームーン セー,Digital Music,5.0,1
B000008A2U,Der Kommissar,Digital Music,4.5,10
B000ZH3VCW,Do the Twist With Ray Charles,Digital Music,5.0,5
B000T400ZC,L'Art du Son Record Cleaning Fluid for Shellac 78s,Digital Music,4.7,118
1556869622,"Assassins (Left Behind, Book 6)",Digital Music,4.7,1518
1444107186,"Complete Swedish Beginner to Intermediate Book and Audio Course: Learn to read, write, speak and understand a new language with Teach Yourself",Digital Music,4.2,9
B000KJ8Y18,Worship From the Big Top,Digital Music,5.0,1
B00JZ2KUSQ,Je suis Grecque,Digital Music,4.4,22
B013RPFRK2,"NUGENT, TED & THE AMBOY DUKES - SURVIVAL OF THE FITTEST LIVE by N/A (0100-01-01)",Digital Music,4.6,40
B0006Z15EE,Independence Eve At Grant Park with the Chicago Park District's Grant Park Symphony Orchestra and Chorus,Digital Music,5.0,1
B00D7HBTQ2,Too Late Blues,Digital Music,4.2,3
B01HULCZZ4,Iuhan 82,Digital Music,3.2,3
B00NNV6HRI,"Minnesota Blues ...Live In Deluth October, 1968",Digital Music,2.5,3
B01MTL9QGG,Great Dg & Emi (37CD Box Set),Digital Music,5.0,2
B002UT90ZK,Chopin 24 Preludes Op. 28 Prelude in C-sharp Minor Op. 45,Digital Music,5.0,2
B0089AZVSY,Spirit of the 60's (New Studio Recordings By the Original Artists),Digital Music,4.0,2
B00081YRJG,25 Greatest Hits,Digital Music,4.2,25
B07953GPNS,Sir Thomas,Digital Music,4.0,1
B0053TD28U,"HAPPY BIRTHDAY IT'S PARTY TIME with the Crickentone Chorus, Orchestra and Playhour Players",Digital Music,5.0,1
B007XHW77C,"Ryszard Rynkowski & Renata Dabkowska - Polskie Koledy, Christmas Carols in Polish",Digital Music,4.0,5
B0080U5CFA,The Beatles - THE ESHER DEMOS - Audio Cd MLPS [Mini Long Play Sleeve] Japanese Mini-LP Replica Audio CD OBI,Digital Music,4.8,35
B0097F17CE,"Boston, Picture Disc Vinyl 1976 Epic E99 34188",Digital Music,4.8,6
B00000418W,Verdi: Requiem / Quattro Pezzi Sacri Four Sacred Pieces,Digital Music,4.6,52
B00126J8SG,HISTORIA MUSICAL,Digital Music,4.1,3
B000MK2Z5Q,Thinking of You,Digital Music,4.9,19
B083WSRV3C,WayV 3 GIFT Take Over The Moon Album+Folded Poster Group Extra Photocard+MAFF Aerosilver Premium Mask,Digital Music,4.8,43
B00N0ECFRE,Días de Sol,Digital Music,5.0,1
B0007VSAUO,Funk Volume 2 The Original Masters,Digital Music,4.7,19
B0036ZXPBC,Beethoven: Symphony No. 7 / Symphony No. 2,Digital Music,4.0,1
1415918228,Battle Born (Lib)(CD),Digital Music,4.4,1302
B07DKMRM5L,Ewig mit Dir mit Florian Silbereisen Duett,Digital Music,4.7,303
B01KAPLOJ0,Afternoon in the Garden by ELVIS PRESLEY (1997-03-25),Digital Music,4.8,190
B0006VCFC4,Interludes: Babbling Brook,Digital Music,4.2,12
B000PHPS4G,Those Fabulous '50s,Digital Music,4.8,6
B001PZOCLC,In a Cottage Garden: The Piano Artistry of Dan Troxell,Digital Music,4.0,5
B004GSDGV2,"Aandhi,Dastak & Mausam",Digital Music,5.0,1
B00AB7OF8U,Good Times,Digital Music,4.7,5
B00005Y7Q7,Best of,Digital Music,4.0,1
B002QGAV78,Sweet Soul of the '70s,Digital Music,4.6,32
B07FGT8J1B,"Spirit Of Woodstock Mercedes Benz, Brown Eyed Girl, Catch The Wind, In-A-Gadda-Da-Vida",Digital Music,4.5,12
B087FL753S,At The Arena,Digital Music,3.9,104
B00005FQ81,FENCE,Digital Music,5.0,3
B0000562JU,Cloudberry Jam,Digital Music,4.5,10
B08K1M1RCR,A Blessing And A Curse - Exclusive Limited Edition Orange Swirl Colored Vinyl LP (Only 350 Copies Pressed Worldwide),Digital Music,4.8,204
B006X08ECC,Golden Age of Country: Hillbilly Heaven Time Life,Digital Music,5.0,3
8804535806,My Life,Digital Music,4.3,1072
B003HVQWZ6,Sleepers Awake - The Art of Solo Acoustic Guitar: Vol. 2,Digital Music,4.5,3
