rating,title,text,images,asin,parent_asin,user_id,review_date,helpful_vote,verified_purchase
4.0,"Elvis' 1963 studio LP wasn't lost, it was maimed!","With movies taking over Elvis' post-army career, their soundtracks, naturally, became the main focus of his album release schedule.  The annual barrage of soundtrack LPs and EPs would yield enough space for just one new studio LP and one or two singles per year in his busy release schedule.  ""Elvis is Back!"" (1960), ""Something for Everybody"" (1961), ""Pot Luck"" (1962), plus the ""His Hand in Mine"" gospel album (released at Christmas, 1960 and a steady catalog seller), were all well received best-sellers.  So, when Elvis entered RCA's Studio B in Nashville in May of 1963, it was expected by fans to be for the purpose of recording a new non-movie LP to follow up the previous year's ""Pot Luck with Elvis"" album.  The big summer '63 single (Devil in Disguise) whet the fanbase appetite for a new studio LP, and then ... a Greatest Hits set (Elvis' Golden Records, Volume 3) was issued, followed by yet another soundtrack album (""Fun in Acapulco"").  The recordings that made up what came to be known as ""The Lost Album"" would be sliced and diced and served up as various singles A-sides and B-sides, EP filler (""Tickle Me""), soundtrack album 'bonus songs,' and patched together album fodder (""Elvis for Everyone!"") over the following five years.  And it's a plain shame, because it didn't have to be that way.  ""Golden Records Volume 3"" could've / should've been held back for summer '64 release since RCA didn't see fit to issue a ""Viva Las Vegas!"" soundtrack album, despite the runaway success of the movie, leaving a wide-open space in the summer '64 schedule -- the perfect slot for ""Golden Records Volume 3.""  After ""Kissin' Cousins"" (March '64) another new Elvis LP wouldn't turn up until the ""Roustabout"" soundtrack was released in late November.  A more than worthy follow-up to the Top 5 success of ""Pot Luck,"" the so-called Lost Album would have met with great success in 1963, a time when Elvis' recording career momentum could surely have used a boost.  Sales of the recent ""It Happened at the World's Fair"" soundtrack had been tepid, by Elvis' standards.  More importantly, 'Lost' was / is a fine stand-alone album.  As was the ongoing pattern, 15 songs had been recorded: Two singles A-sides (Devil in Disguise and the planned, but ultimately unissued single Memphis, Tennessee), an immediate B-side for 'Devil' (Please Don't Drag That String Around), and a twelve-track LP deftly mixing pop, rock, love ballads, and hints of Elvis' blues and country roots.  Some 60 years down the line, it still adds up to a wonderfully eclectic collection from the guy who once said, ""I sing all kinds,"" and he was neither boasting nor kidding.  Four shining stars and definitely recommended.",[],B01KAVRPSS,B01KAVRPSS,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2023-01-05 20:16:43,0,True
4.0,Clapper's look back at the big ones is meant to accompany his autobiography,"Import version, basically the same as the domestic release but featuring a better cover (imho).  Released originally to accompany / capitalize on the release of his autobiography. And in that sense, it's all good, I suppose, although this material has been collected and re-collected numerous times. But if you're looking to have just one Eric Clapton retrospective in your collection, this just may be the one for you.  Disc One covers the various group and early solo years.  Disc Two centers in on the Warner Brothers releases.  And not surprisingly, the first disc is the really interesting one for classic rockers.  The second cd has a lot of big singles and radio hits; for the most part, however, they're not as strong as the savage young Eric.  Five stars for the casual fan, four stars for the rest of us.  Definitely recommended.",[],B09TG5NB37,B09TG5NB37,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-11-06 00:22:45,0,False
4.0,CSN's last best shining moment,"Daylight Again began as a duo project for Stephen Stills and Graham Nash, as David Crosby was in the throes of his legendary and debilitating drug addiction.  Atlantic Records passed on the duo concept and suggested that Stills and Nash should somehow work Croz into the project.  It was the group's last best hope.  Sales for the CSN trio's third LP together would surely outpace a SN duo release.  They did, and it did, and all was well, for a while anyway.  The album produced a pair of genuine hit singles (Nash's Wasted on the Way, Stills' Southern Cross) that pushed it up into the top ten charts and on to platinum sales certification.  The Cali soft-rock sound that stoked the album was right in the pocket for the times, and the Crosby contributions (Delta, Might as Well Have a Good Time) felt right in the mix, never mind that Art Garfunkel and Timothy B. Schmidt were all over the vocal harmonies throughout the project.  It was the last time an original CSN collection would be so well received.  Four stars from me and highly recommended.",[],B0872JR211,B0872JR211,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-08-01 19:48:34,0,False
4.0,"No Robbie, but immensely entertaining Band in concert","What would the Band be like without Robbie Robertson?  People wanted to know back in the early '80s.  Well, if Live in Tokyo 1983 is any indication, they'd have been a kick-butt Americana outfit that still had a whole lotta life left in them.  Playing with the Cate Brothers Band, the Band mixed classic rock covers alongside familiar J.R. Robertson written favorites to create a wildly entertaining setlist that aimed to -- and succeeded at -- pleasing their decades long followers.  Levon Helm, Richard Manuel, Garth Hudson, Rick Danko.  They never rested on their laurels; along with the Cate Brothers, they give it their all.  If you can find this two-disc set at a reasonable price, and you were ever a big Band fan, don't hesitate.  Buy it, you won't be disappointed.",[],B003B3V14W,B003B3V14W,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-07-20 16:32:43,0,True
4.0,Eric Andersen's follow-up to The Street Was Always There,"The follow-up to his ""The Street Was Always There"" collection, and basically, it's more of the same.  A journeyman's collection of folk and folk-rock covers (mostly) delivered in Andersen's smooth, thoughtful style.  If you were a fan of 'Street,' then ""Waves"" will be right in your wheelhouse.  Three-and-one-half stars and a mildly enthusiastic recommendation from this longtime fan.  I much prefer him in singer / songwriter mode rather than as an interpreter of other writers' works.",[],B01KAWR15O,B01KAWR15O,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-07-07 16:53:07,1,False
5.0,"The great, lost Brigati Brothers album","Eddie and David Brigati's lost masterpiece.  Why hasn't this classic Rascals side-bar story been reissued on CD?  It's easily the equal of ""Felix Cavaliere"" / ""Destiny,"" and far outshines ""Treasure."" That something as good as this remains unattainable in today's music marketplace is positively mindboggling.  I bought the LP back in 1976 (and I still own and play it!) after hearing the title track played by the late, great Scott ""Scotso"" Muni on the late, lamented WNEW-FM 102.7, where rock lived in those days.  While it was the title track that drew me in at first, the entire album grabbed hold of my musical soul and has never let go -- some 46 years on.  It's that good, yes!  C'mon, Rhino, this one's right in your Rascals lovin' wheelhouse.  Make ""Lost in The Wilderness"" available for people to fall in love with again -- or for the very first time.  Thanks for all the great music, Eddie & Dave, I highly recommend this one to everyone who loves music made with genuine care and feeling.  Prepare to be moved!",[],B003XOPPFK,B003XOPPFK,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2022-04-24 19:47:04,1,False
3.0,Yet another spotty Chicago retrospective,"Another Chicago retrospective, this time an import.  Trouble is the same as ever.  The Columbia recordings far outshine the Warners years, leaving their '80s output seeming incredibly limp and middle-of-the-road.  Once they were an adventurous and risk-taking creative juggernaut embraced by both the AM-radio singles market and the FM-classic rock format.  By the '80s, however,  Chicago had devolved into an Adult Contemporary radio power ballad machine, becoming bland, less significant, and ever more meaningless with each new release.  Compilations such as this one drive that sad fact home all too often.  Three stars for the Columbia output featured.  Minus two stars for the mindless power ballad inclusions.",[],B082K5Z5G7,B082K5Z5G7,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2021-10-31 23:43:38,5,True
3.0,Lu runs down some choice Petty / Heartbreakers tracks,"As a rule I tend to really enjoy covers discs.  Not this go 'round.  Does neither Tom Petty nor Lucinda Williams justice.  A good idea on paper, maybe, but poorly executed.  Sorry, but this completely misses Petty's much loved, much missed rock 'n' roll heart.  Recommended for diehard Lu fans.  Most Petty fans, like me, will find it lacking.",[],B08TZMHLHX,B08TZMHLHX,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2021-10-31 14:52:24,2,True
5.0,"Southside's Mercury Years recaptured, remastered","This three-disc import mini-box makes the near-perfect companion to the two-disc ""The Fever The Remastered Epic Recordings"" compilation (2017).  Following hot on the heels of the band's masterwork (1978's ""Hearts of Stone""), the first Mercury album (""The Jukes"") may have seemed kind of hit-and-miss upon release, but it opens on a high note with a pair of near-classics (All I Want is Everything, I'm So Anxious) and closes with a stirring standout (Vertigo); the songwriting (mostly by Billy Rush) is never less than interesting.  The follow-up (""Love Is a Sacrifice"") upped the ante even further with the emergence of Rush and Southside (John Lyon) as production partners.  In addition to the classic title track, the album contains what would become live Jukes concert staples (Love When It's Strong, Restless Heart, On the Beach), as well as the band's most beautiful, if heart-wrenching ballad (It Hurts).  The third and final Mercury release (""Reach Up And Touch The Sky"") was originally a two-LP live set.  Here, it's all on one disc and it still kills: Hits, misses, and covers, all pushed along by Southside's vocals, the great core band, and those hot Jukes horns, 'til everyone goes home sweaty, smiling and happy.  The original outer LP artwork is replicated for each of the three discs, with the rest contained within the mini-box's booklet, along with credits, Malcolm Dome's interesting and informative notes, and single picture sleeve replicas.  The Mercury Years is a must-have for long-time Jukes fans ... like yours truly.",[],B07CXBXR2J,B07CXBXR2J,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,2018-09-18 04:48:25,12,True
5.0,Cool Listen,"A fun listen!  Although out of date and overpriced on Amazon, really enjoyed Travolta's singing and many of the lyrics were interesting and useful.  Road to Freedom and Way to Happiness were quite useful to me.  Music a bit out dated, would love to hear it rerecorded.  Recommended.",[],B014JUOKHU,B014JUOKHU,AEHZXP35GBAQS4TD74JRUOFZI7SA,2016-06-24 19:10:12,1,False
5.0,Love the music,"Arrived quickly, good price",[],B09WY1YYZJ,B09WY1YYZJ,AGJOKZFVJ665TS2NJFP46AJQJL3Q,2022-09-01 11:50:50,1,True
5.0,A moving account of finding strength and direction in God,"This is a remarkable book filled with great moments showing how God uses His strength and power for our welfare and to further His divine purpose.<br /><br />I enjoyed the honesty, integrity, fortitude, he showed in his response to life circumstances. Dr. Stanley’s young life, upbringing, dreams, goals, and aspirations are also nicely highlighted. I appreciate how He interacts with others, those standing with him, and those who choose to go against him.<br /><br />Life was not sweet or kind every day, so we see Dr. Stanley develop strength, grit, and determination.<br />Life kept knocking him down, as a child and tried again later in his life, so we see him learn to stand his ground, lean on God, listen for inspired directions, and stand firm in His faith.<br /><br />Dr. Stanley comes off as a interesting man, with a true and strong heart for God. This is a soothing and moving book to read. This book has lots of great examples of how to walk an enlightened path of faith, and it is A book that I highly recommend.",[],B01K3LZNB6,B01K3LZNB6,AFQ7WYW4KSH4VI5OVXCP2GV6PBRA,2019-09-09 07:22:41,0,False
5.0,Five Stars,Great CD,[],B00J9U22OY,B00J9U22OY,AHT24MMCKVNZ7RGZ46LFEWBUPOFA,2014-07-07 16:49:16,1,False
5.0,We'll see how they like it.,This is for my husband's 50th high school reunion. We'll see how they like it.,[],B0041TW6BW,B0041TW6BW,AFJOCZGYW6QFTYEYBZXCFZNWONKQ,2016-01-16 00:40:42,0,True
5.0,Five Stars,My niece loved it for her 21st birthday!!!!!!,[],B00I5VQ7H6,B00I5VQ7H6,AEOHRV5ZJJZOCSACAJDNNHQJAG7Q,2017-12-28 15:48:21,0,True
5.0,Needed,Nice,[],B013H0Y5EG,B013H0Y5EG,AFTDSPCG32FV2VPWLEYPDQARTSQA,2019-03-26 02:28:59,0,True
5.0,How did I not know about this album before?,I miss Dana Key. I’ve had most of his D&K music and “the Journey” for years and never even knew he had another solo project. I ran across this album on YouTube and went looking for the CD - found it used and cheap on Amazon. Glad I did - this is good listening.,[],B00000B00Y,B00000B00Y,AGZFRAVHZY6FKJ7JUMJ6Y5R7HMHA,2018-08-05 15:45:03,1,True
5.0,Excellent CD.,I love this CD.  It’s been a long time since I have found a CD I love. Ed Sheeran has different kinds of music on the same CD.  His style varies and makes it so interesting.  I am a middle aged woman and I am obsessed with Ed Sheeran’s music.,[],B07DZ84LP4,B07DZ84LP4,AGK3F6BXYCB6AN2OKEVQ4XJPKFLQ,2019-05-01 18:18:16,10,True
5.0,Five Stars,"Great deal, sounds terrific. Fast shipping",[],B005S2JU06,B005S2JU06,AHDF7J4POYZFSKSU2V2MAOJ6BV6Q,2015-01-28 01:21:26,0,True
5.0,"It’s wonderful, wonderful.","Mostly old standards with some new ones, very pleased with this album.",[],B07D23QW34,B07D23QW34,AFKJQMCY3HIYNHN3FEMLQXPGIPWA,2021-09-22 17:23:31,1,True
4.0,"At the control room, good music.",Not perfect but a really good album worth while having.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81sh4Fcy5lL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81sh4Fcy5lL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81sh4Fcy5lL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B00IAFVQPA,B00IAFVQPA,AFKJQMCY3HIYNHN3FEMLQXPGIPWA,2021-03-29 23:18:24,0,True
5.0,So Great!,I love this... It was signed by the entire group. I love the music and book.,[],B00PG5HKCK,B00PG5HKCK,AH66FSBWTQC75KM2DSTCHNKVQTGQ,2015-10-19 00:03:56,0,True
5.0,Elvis is King!,I collect the Elvis Legacy CD's and this has got to be one of his best. I love how Sony/ Legacy does these CD's with the booklets and artwork. The price is very reasonable also!,[],B00ZUPPH5S,B00ZUPPH5S,AH66FSBWTQC75KM2DSTCHNKVQTGQ,2015-10-18 23:32:56,2,True
5.0,Five Stars,"Good price, quick ship. Thanks!",[],B00320LBKI,B00320LBKI,AGNYVH3XWJJETCAWURHBFLQPNHPA,2016-08-17 22:30:05,0,True
5.0,A great production. I loved it,A great production. I loved it. It is great for kids to listen too and make the scenes come alive in their head. Great alternative to TV.,[],B00130G834,B00130G834,AGGJ6SHNO3HLK5JODWEITQQJETKQ,2015-09-25 00:14:23,1,True
1.0,Not happy,Package was fine Item case came broken and it was suppose to be a gift.,[],B00O1F8XM2,B00O1F8XM2,AFX54TU2SL5JJ53SZ72G6PEMSOOA,2018-11-18 23:19:55,0,True
5.0,Gray tunes to bring peace and civility in a chaotic world.,There’s nothing to dislike. Great music to unwind and sing along with the lyrics and/or tunes of the hymns of the Christian faith.,[],0001529145,0001529145,AG6MS57RFS4F2MZ5XJUINK7J4YCQ,2020-02-29 20:02:40,0,True
5.0,Brought back great memories,"If you know this song, you MUST have a copy. Excellent cd; great band. Will bring back wonderful memories.",[],B000P1CTC6,B000P1CTC6,AGQANGDZQGK2IOWOXHOCTPBPQRKA,2016-07-14 14:35:54,1,True
5.0,Fantastic volcalist,Peter Hollens is a truly fantastic vocalist. The singers he has accompanying him on several tracks are also great. The album contains a nice selection of his work.,[],B07DFQRHQ5,B07DFQRHQ5,AENAC6DVZYNNTEGCPUA542BD46VA,2023-02-15 20:53:48,0,False
4.0,enjoyable as background OR foreground music,"howdy y'all,<br /><br />i use this for background music when i am reading. it's quite nifty as foreground music, too! [*grin*] if you like harpsichord music, you will likely enjoy this.<br /><br />take care,<br />lee",[],B0002X4PFG,B0002X4PFG,AE6XLURQ2JFED7NWXHCGH4GQ6OBQ,2015-03-26 04:10:44,1,False
5.0,Five Stars,PERFECT,[],B00DC33KI6,B00DC33KI6,AGH7IQ2Y3DY4I6FXD5KWXIYAN57A,2016-12-28 18:39:59,0,True
5.0,Great,Glad to hear his other music beside the one or two they used to play on the radio back then.,[],B07P1NN9YK,B07P1NN9YK,AGWWTJ2WJXCTXGD3TFDWUUBYOAXQ,2021-11-20 22:25:35,0,True
5.0,Great to See other songs,I only new him by just one songs.  The man put out a lot of great ones and glad I brought the cd.,[],B07FXYHYVQ,B07FXYHYVQ,AGWWTJ2WJXCTXGD3TFDWUUBYOAXQ,2021-11-20 22:24:30,0,True
2.0,Good Comedy,I am used to Redd Foxx when had a red vinyl  This is mostly his stand up comedy at night clubs,[],B01CUWDJCQ,B01CUWDJCQ,AGWWTJ2WJXCTXGD3TFDWUUBYOAXQ,2021-03-12 17:56:30,0,True
5.0,Quick shipping!,Great music,[],B000669EXW,B000669EXW,AFQMW57GEUJGFS6RKLFFPDRNAQFA,2021-04-22 20:51:46,0,True
5.0,Beth is as Good As It Gets,The finest voice I know. As usual her band is tight and the music is perfection! She has the chops!,[],B0019EQCBW,B0019EQCBW,AGW7DNVEEOZ55KAPREK54O7DYLKA,2012-06-29 23:33:07,0,False
5.0,Five Stars,love the eagles,[],B01HXSB2LC,B01HXSB2LC,AF364RSCZMTAEVX533SS37L7G4OQ,2017-08-30 15:52:22,1,True
5.0,Great oldie cd,"When music was really good, and you could sing along with no swearing words. The good Ole days",[],B084J7CCY4,B084J7CCY4,AGS47C3SO62X375JL7RWNBKCFXXA,2021-12-07 07:14:35,0,True
5.0,Love his music,Relaxing music,[],B095JJB6QP,B095JJB6QP,AGS47C3SO62X375JL7RWNBKCFXXA,2021-12-07 07:00:00,0,True
5.0,"Two sessions live at Persian Room in the Plaza Hotel in NYC on September 9, 1958 plus bonus tracks","This is a two-disc set that contains bonus tracks. Refer to my comment to this review for tracks.<br /><br />DISC ONE:  The musicians on the first four tracks were not aware that the tape was rolling and this was never intended to be anything more than a memento of the party. However,it was released as an album on September 28, 1973.<br /><br />The first four tracks of the Miles Davis set were recorded live at the Persian Room in the Plaza Hotel in NYC on September 9, 1958. The sextet features Davis on trumpet, Cannonball Adderley on alto sax, John Coltrane on tenor sax, and a rhythm section led by Bill Evans on piano, Paul Chambers on bass and Jimmy Cobb on drums. This is about six months before the same sextet recorded Kind of Blue.<br /><br />Tracks 5 through 7 were recorded at the Spotlight Lounge in Washington D.C. on November 1, 1958, and the remaining tracks on this disc were recorded Birdland in NYC on January 3, 1959. On all of these bonus tracks Red Garland replaces Evans on piano.<br /><br />DISC TWO: Tracks 1 through 7 were on the original album and also recorded at the Persian Room in the Plaza Hotel in NYC on September 9, 1958. It features Ellington's orchestra that was comprised of Clark Terry, Shorty Baker and Cat Anderson on trumpet, Ray Nance on trumpet and violin, Quentin Jackson, Britt Woodman and John Sanders on trombone, Jimmy Hamilton on clarinet and tenor sax, Russell Procope on alto sax and clarinet, Johnny Hodges on alto sax, Paul Gonsalves on tenor sax, and Harry Carney on baritone sax, bass clarinet and clarinet. The rhythm setion is led by Ellington on piano, Jimmy Woode on bass and Sam Woodyard on drums.<br /><br />Track 5 features Jimmy Rushing on vocals, and track 6 features Billie Holiday on vocals backed by non-Ellington personnel Buck Clayton on trumpet, Mal Waldron on piano and unidentified bassist and drummer.<br /><br />Tracks 8 through 13 feature the main Ellington Orchestra (minus Rushing) and was recorded live at Salle Pleyel, Paris, France on November 20, 1958.",[],B01KBI5GEU,B01KBI5GEU,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-10-09 16:59:59,4,False
5.0,Evans backed by outstanding rhythm section,"Like the first collaboration between Evans and Manne on the 1962 album titled Empathy, this album has a completely different feel from Evans' other work. Most of the album is uptempo, and while harmony is still Evans' focus, melody and rhythm are given equal attention. I am sure that much of this is due to Shelly Manne's approach to drums, which is always creative), and Eddie Gomez' bass.<br /><br />The sound samples on this page convey the music far better than I can in words, so let those be your guide. I will say that if you are a drummer this is definitely an album you want to dissect. Same for bassists. Gomez is right up there with Scott LaFaro in my opinion. Not a clone, by any means, but still an excellent fit to Evans' playing (which is reinforced by future albums they would do together). Evans is legendary for giving his rhythm section space to stretch and this album is no exception. The breaks and solos by both Manne and Gomez are masterful.<br /><br />This album was recorded for Verve in a single October 4, 1966 session at Rudy van Gelder's Englewood Cliffs, NJ studio. According to some sources (including the liner notes on the LP) there were multiple takes, so the session was probably a trying day. However, each track sounds like spontaneous, effortless art to my ears, so whoever did the post production must have added a lot to the album too.",[],B00005MXBU,B00005MXBU,AG3S4FROO422V5KP7DJCBXVUQLJQ,2016-10-08 01:34:26,1,False
