main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together
Digital Music,According to Purpose,5.0,1,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/61VKuSKNuCL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61VKuSKNuCL.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/61VKuSKNuCL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61VKuSKNuCL.jpg', 'variant': 'PT01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41Z4b7BAVjL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Z4b7BAVjL.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/61SdFbSjtBL._SL1500_.jpg'}]",[],Format: Audio CD,[],"{'Date First Available': 'August 28, 2014'}",B00N368G5E,
Digital Music,Original Album Series:Donny Hathaway/Everything Is Everything/Extension Of A Man/In Performance/Live by Donny Hathaway (2010-03-09),5.0,1,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/51R397bJ-BL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51R397bJ-BL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Format: Audio CD,[],"{'Date First Available': 'May 27, 2016'}",B013H1ALO8,
Digital Music,"12 Songs of Good & Evil by Eberhardt, Cliff [Music CD]",4.3,5,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/51ZmyrnGSxL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ZmyrnGSxL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Cliff Eberhardt   Format: Audio CD,[],"{'Date First Available': 'August 28, 2018'}",B00PUTUP88,
Digital Music,Aja [Vinyl LP],4.8,3756,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/41DqKB567mL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41DqKB567mL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61suaRLDFnL._SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Et7mpal7L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Et7mpal7L.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/51pt43hkG1L._SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51OrGhSDS5L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51OrGhSDS5L.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71fNHfR8pEL._SL1016_.jpg'}]",[],Steely Dan,[],"{'Package Dimensions': '15.39 x 13.19 x 0.79 inches; 1 Pounds', 'Manufacturer': 'ABC Records', 'Date First Available': 'August 13, 2015', 'Label': 'ABC Records'}",B00U1OCGGG,
Digital Music,It's Not Big It's Large by Lyle Lovett (2007) Audio CD,4.4,130,[],[],41.88,"[{'thumb': 'https://m.media-amazon.com/images/I/61KvKLn0AxL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61KvKLn0AxL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Lyle Lovett   Format: Audio CD,[],"{'Date First Available': 'July 28, 2014'}",B00G2IJ4IS,
Digital Music,Musikhalle Hamburg West Germany 4/29/1972,5.0,1,[],"[""The German leg of the tour wraps up (well, they did return three weeks later for a show in Munich) with this under-the-radar show in Hamburg, where the band played one of its second sets that were centered around Dark Star and Caution. TRACK LIST: Disc 1 1. Playing in the Band 2. Sugaree 3. Mr. Charlie 4. Black-Throated Wind 5. China Cat Sunflower> 6. I Know You Rider 7. Big Boss Man 8. Jack Straw 9. Loser 10. Chinatown Shuffle Disc 2 1. Me and My Uncle 2. Big Railroad Blues 3. Good Lovin' 4. Casey Jones 5. Greatest Story Ever Told 6. He's Gone 7. Next Time You See Me Disc 3 1. Dark Star> 2. Sugar Magnolia> 3. Caution (Do Not Stop On Tracks) 4. One More Saturday Night 5. Uncle John's Band""]",,"[{'thumb': 'https://m.media-amazon.com/images/I/41tgUr1h0xL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41tgUr1h0xL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Grateful Dead  (Artist)    Format: Audio CD,[],"{'Package Dimensions': '5.51 x 4.88 x 0.31 inches; 3.84 Ounces', 'Date First Available': 'September 30, 2012', 'Number of discs': '3'}",B007BYPRW4,
Digital Music,PEACEFUL OCEAN SURF,2.0,1,[],"['The ebb and flow of the tides along the shore mirrors the ebb and flow of blood within our hearts. Like night and day, winter and summer, life flows in cycles. And like the ever-expanding ripples in a tide pool, all things are connected within that flow.', 'Digital wide field stereo recording of nature sounds contains no added music or human induced noises. Great water and ocean waves nature sounds for relaxation, ambient nature mood music and personal reflection.']",,"[{'thumb': 'https://m.media-amazon.com/images/I/41R3XS6XBZL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41R3XS6XBZL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Nature's Music   Format: Audio CD,[],"{'Package Dimensions': '5.55 x 4.97 x 0.54 inches; 2.83 Ounces', 'Original Release Date': '2001', 'Date First Available': 'October 21, 2006', 'Number of discs': '1'}",B00006497I,
Digital Music,Piece By Piece,5.0,2,[],[],10.93,"[{'thumb': 'https://m.media-amazon.com/images/I/51PrijvVMgL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51PrijvVMgL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Sinners & Saints   The Sinners   Format: Audio CD,[],"{'Package Dimensions': '5.5 x 5 x 0.5 inches; 1.03 Pounds', 'Date First Available': 'February 11, 2007', 'Number of discs': '1'}",B0000073U7,
Digital Music,the day of wrath LP,4.4,11,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/01RmK+J4pJL._SS40_.gif', 'large': 'https://m.media-amazon.com/images/I/01RmK+J4pJL.gif', 'variant': 'MAIN', 'hi_res': None}]",[],Bulldozer,[],"{'Date First Available': 'December 27, 2012'}",B0047IRB4E,
Digital Music,Courage to Stand Strong,5.0,2,[],"['""Here is the always anticipated music from 2010\'s EFY, supporting the theme ""Be strong and of a good courage"" from Joshua 1:9. Great music from Stephanie Mabey, Russ Dixon, and Daniel Beck, among others, will energize you on one front and bring peace on another. ""']",4.76,"[{'thumb': 'https://m.media-amazon.com/images/I/51UL3Zwjp1L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51UL3Zwjp1L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81-WMOWZAeL._SL1500_.jpg'}]",[],Format: Audio CD,[],"{'Package Dimensions': '5.55 x 4.97 x 0.54 inches; 2.88 Ounces', 'Date First Available': 'August 3, 2012'}",B008SFSTOI,
Digital Music,Lord You Reign - Dr Charles Stanley,4.2,3,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/41qBvgq1wOL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41qBvgq1wOL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81JoBVP73aL._SL1500_.jpg'}]",[],Format: Audio CD,[],"{'Package Dimensions': '5.55 x 4.97 x 0.54 inches; 2.88 Ounces', 'Date First Available': 'September 10, 2006'}",B000IG2PNG,
Digital Music,Piu Belle Canzoni,5.0,1,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/410QPNNE74L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/410QPNNE74L.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Format: Audio CD,[],"{'Date First Available': 'March 2, 2011', 'Number of discs': '1'}",B00000IR6D,
Digital Music,Jordin Sparks with Exclusive Bonus Track,4.6,338,[],['Jordin Sparks ~ Jordin Sparks With Exclusive Bonus Track'],8.0,"[{'thumb': 'https://m.media-amazon.com/images/I/51K6VVxgWJL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51K6VVxgWJL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Jordin Sparks   Format: Audio CD,[],"{'Package Dimensions': '5.6 x 4.9 x 0.2 inches; 4.8 Ounces', 'Manufacturer': 'Zomba Recording LLC', 'Date First Available': 'November 24, 2007', 'Label': 'Zomba Recording LLC', 'Number of discs': '1'}",B000ZQASEM,
Digital Music,Guqin - A Collection of Music Played on the Guqin (2) (4 Audio CDs),5.0,2,[],[],176.45,"[{'thumb': 'https://m.media-amazon.com/images/I/61P1SAVKhaL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61P1SAVKhaL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Format: Audio CD,[],"{'Date First Available': 'September 19, 2017'}",7799215364,
